,location,domain_profile,company_name,about_the_work_from_home_job/internship,skill(s)_required,who_can_apply,perks,number_of_openings,company_details,start_date,duration,stipend,apply_by,applicants,other_requirements,about_the_internship,additional_information,is_part_time,about_part_time_job/internship
517,Work From Home,Backend Development,Believable,"Selected intern's day-to-day responsibilities include: 

1. Develop the back-end of complex mobile applications and websites
2. Submit accurate work on the given deadline",LARAVEL,"Only those candidates can apply who:
1. are available for the work from home job/internship
2. can start the work from home job/internship between 24th Jun'21 and 29th Jul'21
3. are available for duration of 6 months
4. have relevant skills and interests
* Women wanting to start/restart their career can also apply.","Certificate
 Letter of recommendation",20,"We help entrepreneurs transform their ideas into successful businesses by developing websites, mobile applications, and software solutions for them.",Starts immediatelyImmediately,6 Months,3000-8000 /month,8 Jul' 21,Be an early applicant,,,,0,
518,Work From Home,Software Product Management,Reach Technologies,"Selected intern's day-to-day responsibilities include:

1. Work with web and mobile application product teams to visualize user experience journeys for various categories of users
2. Create detailed wireframes that map the user experience journey of each representative user for a user category
3. Work with UX/UI teams to create GUIs based on the wireframes
4. Create/Update functional specification documents detailing the product roadmap for  a fashion / apparel B2B SaaS product",,"Only those candidates can apply who:
1. are available for the work from home job/internship
2. can start the work from home job/internship between 28th Jun'21 and 2nd Aug'21
3. are available for duration of 1 month
4. have relevant skills and interests
* Women wanting to start/restart their career can also apply.","Certificate
 Letter of recommendation
 Flexible work hours
 5 days a week",9,"Website;Reach Technologies is a leader in business technology solutions for the global soft goods industry. It offers pre-packaged products, custom solutions, business process outsourcing (BPO), consulting services, and off-shore development facilities. Reach Technologies enables stakeholders across the soft goods value chain to work collaboratively, more effectively, and efficiently.",Starts immediatelyImmediately,1 Month,5000 /month,12 Jul' 21,188 applicants,,,,1,
519,Mumbai,Web Development,Elixir Digital Media,,WordPress,"Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 18th Jun'21 and 23rd Jul'21
3. are available for duration of 6 months
4. have relevant skills and interests",,1,"Website;We are a full-service market communication company dealing in video production, animated videos, digital marketing, website, and IT solutions.",Starts immediatelyImmediately,6 Months,10000 /month,2 Jul' 21,104 applicants,,"Selected intern's day-to-day responsibilities include: 

1. Managing WordPress and Shopify websites
2. Working on web designing and development  
3. Providing support
4. Uploading product & descriptions",,0,
520,Delhi,Game Development,Freak X Apps,,"HTML
Adobe Photoshop
Adobe Illustrator
Manual Testing
GitHub","Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 25th Jun'21 and 30th Jul'21
3. are available for duration of 4 months
4. have relevant skills and interests
* Women wanting to start/restart their career can also apply.","Certificate
 Flexible work hours
 Informal dress code
 Free snacks & beverages
 Job offer",3,"Website;We have a small team of passionate people working with us and trying to do some good in gaming. We have expertise in HTML5 game development. We work on some specific 2D gaming engine. Apart from these games, we compile our games on Android and iOS also. Our vision is to create more and more addictive yet simple games and satisfy our clients at best way possible in gaming stream.",Starts immediatelyImmediately,4 Months,5000 /month,9 Jul' 21,30 applicants,,"Selected intern's day-to-day responsibilities include:

1. Develop 2D games 
2. Design, build and maintain efficient, reusable, and reliable code
3. Work on identifying and fixing code errors
4. Optimize code size and speed to maximize the technological capacities of each device
5. Coordinate with other teams
6. Ensure the best performance, quality, and responsiveness of applications and games
7. Work on multiple projects","We are looking for a passionate and hardworking person willing to make a career in gaming. In the internship, you will learn how to develop games from scratch. We use a specific 2D game engine to develop games, so no coding is required.",0,
521,Work From Home,Game Design,Rainbow Enterprise,"Selected intern's day-to-day responsibilities include: 

1. Work on assigned game development
2. Work on game design",,"Only those candidates can apply who:
1. are available for the work from home job/internship
2. can start the work from home job/internship between 29th Jun'21 and 3rd Aug'21
3. are available for duration of 4 months
4. have relevant skills and interests
* Women wanting to start/restart their career can also apply.","Certificate
 Letter of recommendation",1,"Rainbow Enterprise is an award-winning language learning program from Singapore, with a unique curriculum designed for students from 3-12 years of age. Our curriculum is primarily modeled on globally practiced progressive language teaching practices.",Starts immediatelyImmediately,4 Months,5000-6000 /month,13 Jul' 21,Be an early applicant,1. Must have a laptop and wifi,,,0,
522,Work From Home,Technical Program Management,Blush N More,"Selected intern's day-to-day responsibilities include:

1. Establishing and implementing training processes and strategies for all technical personnel
2. Analyzing, planning, and developing requirements and standards in reference to scheduled projects
3. Assigning and overseeing the daily tasks of technical personnel while ensuring all subordinates are actively working toward established milestones
4. Holding regular technical team meetings to determine progress and address any questions or challenges regarding projects
5. Determining and defining clear deliverables, roles, and responsibilities for staff members required for specific projects or initiatives",,"Only those candidates can apply who:
1. are available for the work from home job/internship
2. can start the work from home job/internship between 29th Jun'21 and 3rd Aug'21
3. are available for duration of 3 months
4. have relevant skills and interests","Certificate
 Letter of recommendation
 Flexible work hours",7,"Instagram page;We, at Blush N More, intend to provide our customers with a smooth shopping experience. We provide a variety of high-quality products at affordable prices. We give access to thousands of products through our smart and reliable online store. We drive our customers through every step with simplified filters, expert insights, timely collection, and easily accessible customer service. We know that every product counts and we strive to make it as rewarding as possible from the time one shops until it reaches your doorstep.",Starts immediatelyImmediately,3 Months,1000 /month,13 Jul' 21,Be an early applicant,,,,1,
523,Work From Home,Web Development,Xcrino Business Solutions,"Selected intern's day-to-day responsibilities include: 

1. Working with current technologies like Flutter/React, etc.
2. Working with the team to manage, optimize and customize multiple web applications
3. Creating and maintaining technical documentation",,"Only those candidates can apply who:
1. are available for the work from home job/internship
2. can start the work from home job/internship between 13th Jun'21 and 18th Jul'21
3. are available for duration of 3 months
4. have relevant skills and interests","Certificate
 Letter of recommendation
 Flexible work hours
 5 days a week",5,"Website;Being one of the leading IT solution providers, we introduced the new era in the web industry by offering professional online solutions and advanced website functionalities for global businesses. To compete effectively with today's highly professional business standards, it is inevitable to have one's own web presence and we lend our hand to flourish you there! We provide ultimate solutions for your business needs to make a great impression on the web which allows you to effectively market your business and enhance your customer base. We work closely with organizations to stick online and achieve high levels of website traffic, sales, and customers. We specialize in the creation of commercial websites and web portals, custom software, and application developments as well as print and rich media applications. At Xcrino Business Solutions, you can find unlimited solutions for your requirements under one roof.",Starts immediatelyImmediately,3 Months,5000 /month,9 Jul' 21,41 applicants,"1. English knowledge
2. Should be willing to learn
3. Should know about present technologies like Flutter/React, etc.
4. Knowledge of mobile app",,,0,
524,Work From Home,Web Development,Eleven Technolab,"Selected intern's day-to-day responsibilities include: 

1. Work on UI/UX design & development
2. Work on Wordpress and shopify design & development
3. Manage e-commerce design & development","PHP
HTML
CSS
Adobe Photoshop
WordPress
Magento
Bootstrap
UI & UX Design","Only those candidates can apply who:
1. are available for the work from home job/internship
2. can start the work from home job/internship between 21st Jun'21 and 26th Jul'21
3. are available for duration of 3 months
4. have relevant skills and interests
* Women wanting to start/restart their career can also apply.","Certificate
 Letter of recommendation
 Flexible work hours
 5 days a week",2,"Eleven Technolab is a premier eCommerce marketing agency, based in New Delhi, India. We have generated 13.7 million+ combined revenue for more than 50+ brands globally in the last 5 years.

We assess your business and guide you with a strategy that helps you reach your objectives and goals faster and better. We ensure data-driven results with the use of expert digital skills, technology, and a combined experience of 100+ years.

We develop strategies aimed at business growth and a wider audience reach.",Starts immediatelyImmediately,3 Months,3000-8000 /month,5 Jul' 21,64 applicants,,,,0,
525,Work From Home,Mobile App Development (Flutter),Jantu,"Selected intern's day-to-day responsibilities include:

1. Delivering high-quality testable code using Dart and Flutter
2. Writing tests (TDD/BDD/unit tests and component tests)
3. Working on the end-to-end development of the app","Flutter
Git Bash","Only those candidates can apply who:
1. are available for the work from home job/internship
2. can start the work from home job/internship between 23rd Jun'21 and 28th Jul'21
3. are available for duration of 2 months
4. have relevant skills and interests","Certificate
 Letter of recommendation
 Flexible work hours
 5 days a week",3,"Jantu is ready to lead the third wave of digitalization in India. We are prepared to serve the livestock market, which has been neglected for years, with a product in the pipeline for a technologically under-served segment. With easy access to the internet in rural parts of the country, we are building products tailored to the segment's needs rather than presenting the urban market solutions to the rural world with a patch.",Starts immediatelyImmediately,2 Months,5000-9000 /month,8 Jul' 21,74 applicants,,,,0,
526,Bangalore,Python Development,Sollys Consulting And Solutions Private Limited,,"Python
SQL
MS SQL Server
Data Science","Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 29th Jun'21 and 3rd Aug'21
3. are available for duration of 6 months
4. have relevant skills and interests
* Women wanting to start/restart their career can also apply.","Certificate
 Job offer",2,"Website;Sollys is a technology startup with young entrepreneurs and accomplished minds working in synergy. We prioritize technological enhancement with assistive training in this dexterous era of digitalization. We escort businesses through the present to the future of technology and recruiting the best available talents. With our inimitable hold on data in digital forms, we reflect an incomparable competitive edge that will foster rapid scalability and project consumer success.",Starts immediatelyImmediately,6 Months,12000 /month,13 Jul' 21,152 applicants,,"Selected intern's day-to-day responsibilities include:

1. Work on requirement understanding
2. Engage in coding
3. Take part in team discussions",,0,
527,Ahmedabad,PHP Development,JSTECHNO Solutions Private Limited,,"PHP
MySQL
jQuery
AJAX
LARAVEL","Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 24th Jun'21 and 29th Jul'21
3. are available for duration of 6 months
4.  are from Ahmedabad
5. have relevant skills and interests","Certificate
 Letter of recommendation",2,"Website;JSTECHNO is an established software development & IT consulting organization with development centers in India along with having a presence around the globe. JSTECHNO has served clients from various countries and played a crucial part in their success. Its management team is headed by professionals from CPG, retail, finance, and IT consulting industries. The development team consists of strong 150+ highly skilled professionals in desktop technologies, web technologies, and mobile technologies (iPhone, Android, Windows, etc.) as well as internet of things (IoT), wearable technologies, iBeacon, augmented reality, and virtual reality as part of our complete IT solution services. JSTECHNO also provides long-term maintenance, support, outsourced quality assurance, system administration, documentation, and many more services.",Starts immediatelyImmediately,6 Months,8000 /month,8 Jul' 21,Be an early applicant,,"Selected intern's day-to-day responsibilities include: 

1. Develop, record and maintain cutting edge web-based PHP applications on portal plus premium service platforms 
2. Build innovative, state-of-the-art applications and collaborate with the User Experience (UX) team 
3. Ensure HTML, CSS, and shared JavaScript is valid and consistent across applications 
4. Prepare and maintain all applications utilizing standard development tools 
5. Utilize backend data services and contribute to increase existing data services API 
6. Lead the entire web application development life cycle right from concept stage to delivery and post launch support 
7. Convey effectively with all task progress, evaluations, suggestions, schedules along with technical and process issues
8. Document the development process, architecture, and standard components
9. Coordinate with co-developers and keeps project manager well informed of the status of development effort and serves as liaison between development staff and project manager 
10. Keep abreast of new trends and best practices in web development",,0,
528,Work From Home,iOS App Development,TikiLIVE,"Selected intern's day-to-day responsibilities include: 

1. Working over a specific project in iOS development
2. Collaborating with the product team
3. Creating roadmaps and timelines for product launch",Swift,"Only those candidates can apply who:
1. are available for the work from home job/internship
2. can start the work from home job/internship between 23rd Jun'21 and 28th Jul'21
3. are available for duration of 1 month
4. have relevant skills and interests","Certificate
 Letter of recommendation
 Flexible work hours
 5 days a week",2,Website;We make OTT delivery solutions worldwide. Let us help you start your OTT/IPTV business with TikiLIVE today. We white label the complete solution to your company name which allows you to retain your customers forever.,Starts immediatelyImmediately,1 Month,18000 /month,8 Jul' 21,262 applicants,,,,1,
529,Work From Home,Python Development,PRM Fincon Services Private Limited,"Selected intern's day-to-day responsibilities include: 

1. Work on Python
2. Work on data structure
3. Work on microservices & API","Python
Data Structures
REST API","Only those candidates can apply who:
1. are available for the work from home job/internship
2. can start the work from home job/internship between 22nd Jun'21 and 27th Jul'21
3. are available for duration of 3 months
4. have relevant skills and interests
* Women wanting to start/restart their career can also apply.","Certificate
 5 days a week",2,"Website;PRM Fincon Services Private Limited is an organization that offers innovative risk solutions through a mix of sophisticated products and bespoke services. Headquartered in Calcutta, India, we have worked with clients from diverse industries and geographies. We also have representative offices in the UAE and the US. We thrive on the superior quality of our offerings and by ensuring high availability, we are the preferred partners for our clients.",Starts immediatelyImmediately,3 Months,8000 /month,6 Jul' 21,449 applicants,,,,0,
530,Work From Home,Web Development,SeeWe,"Selected intern's day-to-day responsibilities include:

1. Working on product development
2. Working on backend development (Java, Spring, Hibernate, and microservices)","Java
Node.js
Hibernate (Java)
Spring MVC
Angular 7.0","Only those candidates can apply who:
1. are available for the work from home job/internship
2. can start the work from home job/internship between 19th Jun'21 and 24th Jul'21
3. are available for duration of 6 months
4. have relevant skills and interests
* Women wanting to start/restart their career can also apply.","Certificate
 Letter of recommendation
 Flexible work hours
 5 days a week",4,"Website;We are a startup founded by graduates from premier institutes like IIT, XISS, and IIM. We are into HR-tech. We solve screening and interviewing problems through our (AI/ML-enabled) audio-video-based screening platform into the B2B market. We were shortlisted for the Capria Ventures cohort. We have been incubated and recognized by NASSCOM.",Starts immediatelyImmediately,6 Months,2000-5000 /month,3 Jul' 21,Be an early applicant,"1. Should be eager to learn new technologies and be self-motivated
2. Should be a fast learner with minimal supervision requirements",,"What you will get with this internship:

1. Experience certificate
2. Letter of recommendation
3. Opportunity to work closely with the team
4. Opportunity to participate in innovative thinking and strategy building
5. Flexible working hours
6. Work from home",0,
531,Faridabad,ASP.Net Development,A. R. Softwares Private Limited,,"JavaScript
jQuery
C#
.NET
ASP.NET
SQL
Model View Controller(MVC)","Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 29th Jun'21 and 3rd Aug'21
3. are available for duration of 6 months
4.  are from Faridabad and neighboring cities
5. have relevant skills and interests",Certificate,2,"Website;A. R. Softwares Private Limited was formed in the year 2006 by identifying the needs of IT and automation in the Indian market. Since then, we have come a long way and acquired a lot of reputable customers nationally and internationally for various services ranging from ERP, infrastructure management, outsourcing, consulting, web development, and much more.",Starts immediatelyImmediately,6 Months,10000 /month,13 Jul' 21,Be an early applicant,,"Selected intern's day-to-day responsibilities include:

1. Designing, modifying, developing, writing, and test programming applications and components
2. Managing the delivery of projects - mapping and coding",,0,
532,Work From Home,Google Cloud Engineering,The Tann Mann Foundation,"Selected intern's day-to-day responsibilities include: 

1. Plan, configure, deploy and operate a cloud solution
2. Configure access and security
3. Ensure performance standards by configuring an auto-scaling solution to meet varying load requirements
4. Automate the build and configuration of IaaS based solutions in Google Cloud Platform
5. Deliver proof of concepts for new solutions on cloud
6. Work well under pressure and meets deadline","Cloud Computing
Google Cloud Computing","Only those candidates can apply who:
1. are available for the work from home job/internship
2. can start the work from home job/internship between 17th Jun'21 and 22nd Jul'21
3. are available for duration of 3 months
4. have relevant skills and interests","Certificate
 Letter of recommendation
 Flexible work hours",4,"The Tann Mann Foundation is a registered trust located in Bangalore, India. We are a not-for-profit social charitable organization with a focus on creating wellness facilities on wheels. We are using AI, ML, blockchain, IoT, and cloud computing to enable the vehicles apart from using cutting-edge technology to reduce water use, enable solar and renewable energy use, and much more. At this time we work only with unpaid volunteers (part-time/freelance/full-time) and we have well-known experts contributing to the cause.",Starts immediatelyImmediately,3 Months,Unpaid,2 Jul' 21,68 applicants,,,,1,
533,Work From Home,Mobile App Development,Silverink Foundation,"Selected intern's day-to-day responsibilities include: 

1. Develop an interactive application for programs
2. Enable user interaction, downloads, and Zoom integration
3. Update curated and limited learning modules","Windows Mobile Application Development
Node.js
Android","Only those candidates can apply who:
1. are available for the work from home job/internship
2. can start the work from home job/internship between 3rd Aug'21 and 31st Aug'21
3. are available for duration of 2 months
4. have relevant skills and interests
* Women wanting to start/restart their career can also apply.","Certificate
 Letter of recommendation
 Flexible work hours
 5 days a week",1,"Silverink Foundation is a not-for-profit non-governmental organization based out in the Kanyakumari district, primarily focusing on education 4.0 and empowerment through entrepreneurship. Women and child empowerment & sustainable development goals are our principal emphasis. We are strong advocates of sustainable development goals. We are empowering every community member to innovate in science and technology, focusing on SDG for building a strong ecosystem. We are searching for impact 'X' in every human being so that they can be enablers, doers, and change-makers.",3 Aug - 31 Aug' 21,2 Months,10000-15000 /month,6 Jul' 21,34 applicants,,,,1,
534,Chandigarh,Flutter Development,Dev Story,,Flutter,"Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 28th Jun'21 and 2nd Aug'21
3. are available for duration of 4 months
4. have relevant skills and interests
* Women wanting to start/restart their career can also apply.","Certificate
 Letter of recommendation
 Informal dress code
 5 days a week
 Free snacks & beverages
 Job offer",1,"LinkedIn page;Dev Story is a leading IT services company committed to offer end-to-end solutions to its customers all across the world. Our team continuously strives to transform the way you conduct your business by delivering cutting-edge IT services and products. Our high performance, robust, and practical solutions have fueled major technology trends, transforming the way people work. Our technology solutions are focused on solving complex issues and achieving measurable results. At Dev Story, we keep up to push the boundaries of possibility to make a difference in our customer's life through our services.",Starts immediatelyImmediately,4 Months,7000-12000 /month,13 Jul' 21,Be an early applicant,"1. Should have an understanding of software development life cycle
2. Should have strong knowledge of different architecture approaches
3. Should have knowledge of SQL
4. Should have strong knowledge of networking
5. Should have experience in programming languages for mobile development 
6. Should have knowledge of Dart programming language
7. Should have experience in Android or iOS mobile development services","Selected intern's day-to-day responsibilities include: 

1. Designing and developing apps
2. Writing clean code
3. Participating in development life-cycle
4. Fixing bugs
5. Investigating technologies to make the development faster
6. Following new trends in development","Job offer: On successful conversion to a permanent employee, the candidate can expect a salary of Rs. 2 to 4 Lac/annum",0,
535,Work From Home,Mobile App Development,Spacenos Technologies Private Limited,"We are looking for a talented Android developer intern who is skilled in Java and passionate about building innovative products.

Selected intern's day-to-day responsibilities include:

1. Developing solutions and creative new app features in an iterative environment to meet ongoing product needs
2. Collaborating with a team to define, develop, and ship new features
3. Optimizing components and creating documents, unit, scenario, integration sanity tests, etc. if required","Java
Android","Only those candidates can apply who:
1. are available for the work from home job/internship
2. can start the work from home job/internship between 19th Jun'21 and 24th Jul'21
3. are available for duration of 2 months
4. have relevant skills and interests
* Women wanting to start/restart their career can also apply.","Certificate
 Letter of recommendation
 Flexible work hours
 5 days a week",4,"Website;Spacenos is a company which is innovating in the healthcare, finance, and marketing domain since 2015 and has won multiple awards & recognitions from more than 30+ MNCs and Fortune 500 companies. We are funded & supported by the government of Karnataka, angel investors, and international grants.",Starts immediatelyImmediately,2 Months,5000-10000 /month,3 Jul' 21,85 applicants,"1. Should have strong knowledge of Android SDK and different versions of Android
2. Should have familiarity with RESTful APIs to connect Android applications to back-end services
3. Should have knowledge of Android UI design principles, patterns, and best practices
4. Should be well-versed with third-party libraries, social media integration, and code versioning tools
5. Should have knowledge of unit-test code for robustness, usability, and general reliability",,,1,
536,Vadodara,Laravel Development,Vardaam Web Solutions Private Limited,,"PHP
MySQL
HTML
CSS
JavaScript
LARAVEL","Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 30th Jun'21 and 4th Aug'21
3. are available for duration of 6 months
4.  are from Vadodara
5. have relevant skills and interests","Certificate
 Flexible work hours
 Informal dress code
 5 days a week",2,"Website;Vardaam Web Solutions, established in 2009, is a leading IT outsourcing company offering website design and development services, custom web application development, and SEO services to international clients in multiple business verticals.",Starts immediatelyImmediately,6 Months,10000 /month,31 Jul' 21,Be an early applicant,,"Selected intern's day-to-day responsibilities include:

1. Develop and maintain cutting edge web-based PHP applications
2. Build innovative, state-of-the-art applications that create a flawless user experience
3. Convey effectively with all task progress, evaluations, suggestions, schedules along with technical and process issues
4. Document the development process, architecture, and standard components
5. Coordinate with co-developers and keep project manager well informed of the status of development effort and serve as a liaison between development staff and project manager
6. Keep abreast of new trends and best practices in web development","We are looking for a motivated Laravel developer to come join our team of professionals. If you are passionate about technology, constantly seeking to learn and improve your skillset, then you are the type of person we are looking for!
We are offering superb career growth opportunities, great compensation, and benefits.",0,
537,Work From Home,Software Engineering (DevOps),USthaan Integrated Solutions Private Limited,"Selected intern's day-to-day responsibilities include:

1. Develop and maintain mission-critical information extraction, analysis, and management systems
2. Provide direct and responsive support for urgent analytic needs
3. Participate in architecture and software development activities
4. Translate loosely defined requirements into robust solutions
5. Evaluate and implement technologies and tools to accomplish specific use cases encountered within the project
6. Collaborate on the project to brainstorm about the best way to tackle a complex technological infrastructure, security, or development problem
7. Identify ways to streamline execution and minimize potential errors",,"Only those candidates can apply who:
1. are available for the work from home job/internship
2. can start the work from home job/internship between 18th Jun'21 and 23rd Jul'21
3. are available for duration of 6 months
4. have relevant skills and interests","Certificate
 Flexible work hours
 5 days a week",2,We are a brand new startup aiming at improving businesses and the lives of people using technology. We are into software development.,Starts immediatelyImmediately,6 Months,10000 /month,2 Jul' 21,140 applicants,"1. Bachelors degree or higher in computer science/engineering
2. Software development experience 
3. Strong analytical & problem-solving skills
4. Strong understanding of data structures & algorithms",,We are a brand new startup trying to make lives efficient through technology. Joining our team will give you an opportunity to solve real-world problems. Solving the problems is a small part of it. You will actually be able to create something that the world will cherish and have your distinct signature on some of the most awesome products we will create together. You will be responsible for making important decisions that will help us shape the products for an amazing tomorrow.,0,
538,Work From Home,MATLAB Programming,Dr. SJ Research Foundation,"Selected intern's day-to-day responsibilities include: 

1. Understand the concepts in MATLAB Programming
2. Implement the algorithm in MATLAB Programming
3. Analyze and present the data",MATLAB,"Only those candidates can apply who:
1. are available for the work from home job/internship
2. can start the work from home job/internship between 26th Jun'21 and 31st Jul'21
3. are available for duration of 1 week
4. have relevant skills and interests","Certificate
 Letter of recommendation
 Flexible work hours
 5 days a week",4,"Dr. SJ Research Foundation is a not-for-profit organization that helps in providing research and consultancy services for MSMEs, large-scale industries, and educational or research institutions. We also provide free educational services to the needy as per their economic condition. We fund research projects and provide grants for entrepreneurs. We also organize technical fests like workshops, conferences, and research meetings in various fields of science and technology.",Starts immediatelyImmediately,1 Week,Unpaid,10 Jul' 21,167 applicants,,,,1,
539,Work From Home,Web Development,Ashish Negi,"Selected intern's day-to-day responsibilities include:

1. Working on web development using Node.js and Express.js
2. Working using RDBMS (MySQL) and NoSQL (MongoDB)
3. Using Async design patterns (promises, generators, observables, async-await, etc.)","JavaScript
MongoDB
AngularJS
Node.js
ReactJS
Angular 7.0","Only those candidates can apply who:
1. are available for the work from home job/internship
2. can start the work from home job/internship between 29th Jun'21 and 3rd Aug'21
3. are available for duration of 2 months
4. have relevant skills and interests
* Women wanting to start/restart their career can also apply.","Certificate
 Flexible work hours",2,Ashish Negi is a mobile application developer by profession and the co-founder of DTECHEX Technology IT Solutions. He has been working in the field of mobile app development for more than five years.,Starts immediatelyImmediately,2 Months,7000 /month,13 Jul' 21,28 applicants,"1. Must have strong analytical skills and problem-solving aptitude
2. Must have the applicable knowledge of web libraries and frameworks such as Angular/React
3. Must have hands-on experience with JavaScript development on both client and server-side
4. Must have knowledge of version control (SVN, Git)
5. Must have knowledge of web services/REST
6. Must have good communication skills
7. Knowledge of another programming language such as Java would be an added advantage",,,0,
540,Work From Home,Full Stack Development (MERN),Quillhash,"Selected intern's day-to-day responsibilities include:

1. Developing new user-facing features using React.js
2. Building reusable components and front-end libraries for future use
3. Translating designs and wireframes into high-quality code
4. Optimizing components for maximum performance across a vast array of web-capable devices and browsers
5. Working on integration of user-facing elements developed by front-end developers with server-side logic
6. Writing reusable, testable, and efficient code
7. Working on the design and implementation of low-latency, high-availability, and performing applications
8. Working on the implementation of security and data protection
9. Working on integration of data storage solutions","HTML
CSS
JavaScript
jQuery
AJAX
Bootstrap
MongoDB
Node.js
ReactJS","Only those candidates can apply who:
1. are available for the work from home job/internship
2. can start the work from home job/internship between 27th Jun'21 and 1st Aug'21
3. are available for duration of 6 months
4. have relevant skills and interests","Certificate
 Letter of recommendation
 5 days a week",2,"Website;We, at Quillhash, explore and build products in blockchain, AI, and IoT. We help traditional businesses become more efficient, streamlined, creative, and innovative by helping them realize the potential of the latest tech - blockchain, AI, and IoT. We provide complete end-to-end solutions and even help companies in research-based projects that require engineers and manpower that can approach a problem through non-traditional and unconventional routes.",Starts immediatelyImmediately,6 Months,5000-10000 /month,12 Jul' 21,41 applicants,,,,0,
541,Delhi,Web Development,Chainlink Technology Private Limited,,"JavaScript
LARAVEL
Amazon Web Services (AWS)
ReactJS
Vue Js","Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 25th Jun'21 and 30th Jul'21
3. are available for duration of 6 months
4. have relevant skills and interests","Certificate
 Letter of recommendation
 Flexible work hours",3,We are an e-commerce marketplace startup that allows buyers to get access to reliable suppliers. We are also integrating reliable supply chains for the post covid world.,Starts immediatelyImmediately,6 Months,10000 /month,9 Jul' 21,80 applicants,,"Selected intern's day-to-day responsibilities include: 

1. Build a web application
2. Test and deploy the web application",Get a chance to be part of the core team during the internship.,0,
542,Work From Home,Web Development,SiteGuide,"Selected intern's day-to-day responsibilities include working on unit testing website development in Django (Python).

Note: Job opportunity or increase in internship period may also be possible on basis of your performance.","Software Testing
Django
Manual Testing","Only those candidates can apply who:
1. are available for the work from home job/internship
2. can start the work from home job/internship between 24th Jun'21 and 29th Jul'21
3. are available for duration of 1 month
4. have relevant skills and interests
* Women wanting to start/restart their career can also apply.","Certificate
 Letter of recommendation
 Flexible work hours",1,"We create websites, applications, software, and chatbots for businesses and individuals whilst helping them grow online.",Starts immediatelyImmediately,1 Month,3000-6000 /month,8 Jul' 21,395 applicants,"1. Knowledge of unit testing Django, Git, and GitHub
2. Knowledge of Selenium testing",,Note: Job opportunity or increase in internship period may also be possible on basis of your performance.,1,
543,Delhi,Web Development,Samadhan Tech,,"HTML
CSS
Node.js
ReactJS
Amazon Web Server (AWS)","Only those candidates can apply who:
1. are available for full time (in-office) internship
2. can start the internship between 20th Jun'21 and 25th Jul'21
3. are available for duration of 6 months
4. have relevant skills and interests","Certificate
 Letter of recommendation
 Flexible work hours
 Informal dress code
 5 days a week
 Free snacks & beverages",5,"Samadhan is a digital product studio for enterprises & start-ups, demanding the very best in new product development and business transformation by harnessing the power of disruptive technologies. With a lean and agile mindset, we go beyond traditional enterprise application development to provide a full range of digital services to not only build user-centered products but also disrupt markets for our clients to grow and transform; an ideal intersection of the user, technology, and commerce.

With a diverse team of highly competent talent, we have become the trusted partner for our clients to manage the entire product development life-cycle across the full spectrum of internet-enabled smart devices, including web and mobile.",Starts immediatelyImmediately,6 Months,10000-14000 /month,4 Jul' 21,57 applicants,,"Develop new user-facing features
Build reusable code and libraries for future use
Ensure the technical feasibility of UI/UX designs
Optimize application for maximum speed and scalability
Assure that all user input is validated before submitting to back-end
Collaborate with other team members and stakeholders","We are looking to find our next tech team member through this internship, apply if you are looking for a much longer interaction.",0,
544,Work From Home,Artificial Neural Networks,Tvish,"Selected intern's day-to-day responsibilities include:

1. Working on building and training machine learning models for our API and app
2. Building data pipelines and integrating the models in the parent app and on AWS
3. Reporting in regular briefings
4. Collaborating with other teams and people
5. Maintaining proper documentation of the work
6. Working with GPT and cutting-edge GAN-based algorithms to test possible new products","Python
Machine Learning
Neural Networks
Artifical Intelligence
Computer Vision","Only those candidates can apply who:
1. are available for the work from home job/internship
2. can start the work from home job/internship between 29th Jun'21 and 3rd Aug'21
3. are available for duration of 2 months
4. have relevant skills and interests","Certificate
 Letter of recommendation
 Flexible work hours",5,"Tvish provides cutting-edge augmented reality technology API, using which you can try wearables on yourself and many other purchases like furniture and home decor items. We exist to help you make better buying decisions.",Starts immediatelyImmediately,2 Months,Unpaid,14 Jul' 21,73 applicants,,,,1,
545,Work From Home,Python Development,Axium Business Solution,"Selected intern's day-to-day responsibilities include:

1. Work on programming in Python as per the requirement
2. Prepare test case and test the product
3. Work on documentation and presentation",,"Only those candidates can apply who:
1. are available for the work from home job/internship
2. can start the work from home job/internship between 25th Jun'21 and 30th Jul'21
3. are available for duration of 6 months
4. have relevant skills and interests",5 days a week,3,We provide consultancy and product development services in the fields of engineering and information technology.,Starts immediatelyImmediately,6 Months,6000-10000 /month,9 Jul' 21,424 applicants,,,,0,
